[tabu] starting iterations=10000 max_no_improve=200 neighbors=60 seed=1
[tabu] iter=25 current=1211.07 best=1211.07 tabu=12 stagnation=1
[tabu] iter=50 current=982.32 best=982.32 tabu=12 stagnation=2
[tabu] iter=75 current=825.65 best=825.65 tabu=12 stagnation=4
[tabu] iter=100 current=710.49 best=710.49 tabu=12 stagnation=1
[tabu] iter=125 current=581.74 best=581.74 tabu=12 stagnation=1
[tabu] iter=150 current=463.95 best=463.95 tabu=12 stagnation=0
[tabu] iter=175 current=418.07 best=418.07 tabu=12 stagnation=3
[tabu] iter=200 current=359.82 best=359.82 tabu=12 stagnation=1
[tabu] iter=225 current=231.62 best=231.62 tabu=12 stagnation=1
[tabu] iter=250 current=149.70 best=149.70 tabu=12 stagnation=1
[tabu] iter=275 current=89.45 best=89.45 tabu=12 stagnation=2
[tabu] iter=300 current=51.95 best=51.95 tabu=12 stagnation=4
[tabu] iter=325 current=19.29 best=19.29 tabu=12 stagnation=4
[tabu] iter=350 current=-54.88 best=-54.88 tabu=12 stagnation=1
[tabu] iter=375 current=-95.21 best=-95.63 tabu=12 stagnation=3
[tabu] iter=400 current=-91.96 best=-108.46 tabu=12 stagnation=18
[tabu] iter=425 current=-162.55 best=-162.55 tabu=12 stagnation=0
[tabu] iter=450 current=-184.21 best=-184.21 tabu=12 stagnation=4
[tabu] iter=475 current=-194.51 best=-194.51 tabu=12 stagnation=2
[tabu] iter=500 current=-216.18 best=-216.18 tabu=12 stagnation=4
[tabu] iter=525 current=-222.78 best=-222.78 tabu=12 stagnation=15
[tabu] iter=550 current=-257.70 best=-258.11 tabu=12 stagnation=11
[tabu] iter=575 current=-294.38 best=-294.38 tabu=12 stagnation=20
[tabu] iter=600 current=-289.71 best=-306.21 tabu=12 stagnation=2
[tabu] iter=625 current=-299.96 best=-306.21 tabu=12 stagnation=27
[tabu] iter=650 current=-324.26 best=-324.26 tabu=12 stagnation=7
[tabu] iter=675 current=-324.55 best=-324.55 tabu=12 stagnation=2
[tabu] iter=700 current=-384.01 best=-384.43 tabu=12 stagnation=4
[tabu] iter=725 current=-384.43 best=-384.43 tabu=12 stagnation=29
[tabu] iter=750 current=-399.18 best=-399.18 tabu=12 stagnation=3
[tabu] iter=775 current=-410.26 best=-410.26 tabu=12 stagnation=9
[tabu] iter=800 current=-389.01 best=-410.68 tabu=12 stagnation=23
[tabu] iter=825 current=-378.01 best=-410.68 tabu=12 stagnation=48
[tabu] iter=850 current=-399.26 best=-410.68 tabu=12 stagnation=73
[tabu] iter=875 current=-410.26 best=-410.68 tabu=12 stagnation=98
[tabu] iter=900 current=-422.45 best=-422.45 tabu=12 stagnation=11
[tabu] iter=925 current=-433.45 best=-433.45 tabu=12 stagnation=4
[tabu] iter=950 current=-433.45 best=-433.45 tabu=12 stagnation=29
[tabu] iter=975 current=-433.45 best=-433.45 tabu=12 stagnation=54
[tabu] iter=1000 current=-433.45 best=-433.45 tabu=12 stagnation=79
[tabu] iter=1025 current=-415.76 best=-433.45 tabu=12 stagnation=104
[tabu] iter=1050 current=-438.46 best=-438.46 tabu=12 stagnation=1
[tabu] iter=1075 current=-448.68 best=-449.10 tabu=12 stagnation=3
[tabu] iter=1100 current=-459.35 best=-460.18 tabu=12 stagnation=8
[tabu] iter=1125 current=-435.18 best=-460.18 tabu=12 stagnation=33
[tabu] iter=1150 current=-470.85 best=-470.85 tabu=12 stagnation=2
[tabu] iter=1175 current=-471.55 best=-471.55 tabu=12 stagnation=4
[tabu] iter=1200 current=-470.76 best=-471.55 tabu=12 stagnation=29
[tabu] iter=1225 current=-470.76 best=-471.55 tabu=12 stagnation=54
[tabu] iter=1250 current=-470.80 best=-471.55 tabu=12 stagnation=79
[tabu] iter=1275 current=-481.85 best=-481.85 tabu=12 stagnation=2
[tabu] iter=1300 current=-481.85 best=-481.85 tabu=12 stagnation=27
[tabu] iter=1325 current=-492.51 best=-492.51 tabu=12 stagnation=4
[tabu] iter=1350 current=-494.71 best=-494.71 tabu=12 stagnation=1
[tabu] iter=1375 current=-477.85 best=-494.71 tabu=12 stagnation=26
[tabu] iter=1400 current=-494.71 best=-494.71 tabu=12 stagnation=51
[tabu] iter=1425 current=-489.93 best=-494.71 tabu=12 stagnation=76
[tabu] iter=1450 current=-515.71 best=-515.71 tabu=12 stagnation=4
[tabu] iter=1475 current=-502.55 best=-515.71 tabu=12 stagnation=29
[tabu] iter=1500 current=-535.21 best=-535.21 tabu=12 stagnation=1
[tabu] iter=1525 current=-540.38 best=-540.38 tabu=12 stagnation=1
[tabu] iter=1550 current=-516.11 best=-540.78 tabu=12 stagnation=20
[tabu] iter=1575 current=-526.78 best=-540.78 tabu=12 stagnation=45
[tabu] iter=1600 current=-554.61 best=-554.61 tabu=12 stagnation=1
[tabu] iter=1625 current=-554.61 best=-554.61 tabu=12 stagnation=26
[tabu] iter=1650 current=-553.38 best=-554.61 tabu=12 stagnation=51
[tabu] iter=1675 current=-559.30 best=-559.30 tabu=12 stagnation=4
[tabu] iter=1700 current=-568.85 best=-568.85 tabu=12 stagnation=11
[tabu] iter=1725 current=-569.26 best=-569.26 tabu=12 stagnation=7
[tabu] iter=1750 current=-559.30 best=-569.96 tabu=12 stagnation=11
[tabu] iter=1775 current=-569.96 best=-569.96 tabu=12 stagnation=36
[tabu] iter=1800 current=-576.21 best=-576.21 tabu=12 stagnation=2
[tabu] iter=1825 current=-611.80 best=-611.80 tabu=12 stagnation=3
[tabu] iter=1850 current=-617.70 best=-617.70 tabu=12 stagnation=2
[tabu] iter=1875 current=-617.70 best=-617.70 tabu=12 stagnation=27
[tabu] iter=1900 current=-617.71 best=-618.11 tabu=12 stagnation=21
[tabu] iter=1925 current=-617.70 best=-618.11 tabu=12 stagnation=46
[tabu] iter=1950 current=-618.11 best=-618.11 tabu=12 stagnation=71
[tabu] iter=1975 current=-616.05 best=-618.11 tabu=12 stagnation=96
[tabu] iter=2000 current=-630.01 best=-630.01 tabu=12 stagnation=0
[tabu] iter=2025 current=-625.38 best=-641.51 tabu=12 stagnation=16
[tabu] iter=2050 current=-636.05 best=-641.51 tabu=12 stagnation=41
[tabu] iter=2075 current=-637.21 best=-641.51 tabu=12 stagnation=66
[tabu] iter=2100 current=-647.88 best=-647.88 tabu=12 stagnation=4
[tabu] iter=2125 current=-647.88 best=-647.88 tabu=12 stagnation=29
[tabu] iter=2150 current=-664.38 best=-664.38 tabu=12 stagnation=2
[tabu] iter=2175 current=-652.88 best=-664.38 tabu=12 stagnation=27
[tabu] iter=2200 current=-669.13 best=-669.13 tabu=12 stagnation=15
[tabu] iter=2225 current=-668.30 best=-669.13 tabu=12 stagnation=40
[tabu] iter=2250 current=-689.18 best=-689.96 tabu=12 stagnation=6
[tabu] iter=2275 current=-690.38 best=-690.38 tabu=12 stagnation=8
[tabu] iter=2300 current=-672.68 best=-690.38 tabu=12 stagnation=33
[tabu] iter=2325 current=-684.46 best=-690.38 tabu=12 stagnation=58
[tabu] iter=2350 current=-657.01 best=-690.38 tabu=12 stagnation=83
[tabu] iter=2375 current=-681.71 best=-690.38 tabu=12 stagnation=108
[tabu] iter=2400 current=-703.78 best=-703.78 tabu=12 stagnation=1
[tabu] iter=2425 current=-702.88 best=-704.11 tabu=12 stagnation=23
[tabu] iter=2450 current=-704.11 best=-704.11 tabu=12 stagnation=48
[tabu] iter=2475 current=-703.70 best=-704.11 tabu=12 stagnation=73
[tabu] iter=2500 current=-693.05 best=-704.11 tabu=12 stagnation=98
[tabu] iter=2525 current=-670.95 best=-704.11 tabu=12 stagnation=123
[tabu] iter=2550 current=-682.05 best=-704.11 tabu=12 stagnation=148
[tabu] iter=2575 current=-703.30 best=-704.11 tabu=12 stagnation=173
[tabu] iter=2600 current=-694.80 best=-704.11 tabu=12 stagnation=198
